hotel,district,season,sentiment,entity_label,entity_text,count
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,LOC,нижний новгород,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,PER,мариоттом,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,LOC,большой покровский,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,PER,минусы,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,LOC,чисто,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,ORG,cou i,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,LOC,кремль (нн),3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,LOC,нижний новгород,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,ORG,рекомендую,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,PER,матрас ортопедический,1
Golden House,Московский,Зима,NEUTRAL,ORG,альф тревог,1
Golden House,Московский,Лето,NEGATIVE,PER,номер,1
Golden House,Московский,Лето,POSITIVE,LOC,москва,1
Golden House,Московский,Лето,POSITIVE,ORG,фае,1
Golden House,Московский,Лето,POSITIVE,PER,алла викторович,1
Golden House,Московский,Лето,POSITIVE,PER,голоден хаус,1
Golden House,Московский,Лето,POSITIVE,PER,наталья,1
Golden House,Московский,Осень,POSITIVE,PER,виктория,1
Gorky,Советский,Весна,NEUTRAL,PER,пятерочка,1
Gorky,Советский,Весна,POSITIVE,LOC,кремль (нн),1
Gorky,Советский,Весна,POSITIVE,ORG,горький,1
Gorky,Советский,Весна,POSITIVE,PER,кулер,1
Gorky,Советский,Зима,POSITIVE,LOC,нижний новгород,1
Gorky,Советский,Зима,POSITIVE,LOC,снт,1
Gorky,Советский,Зима,POSITIVE,ORG,пятерочка,1
Gorky,Советский,Лето,NEGATIVE,LOC,нижний новгород,1
Gorky,Советский,Лето,NEUTRAL,ORG,океаниса,1
Gorky,Советский,Лето,NEUTRAL,ORG,пятерочка,1
Gorky,Советский,Лето,NEUTRAL,ORG,тв,1
Gorky,Советский,Лето,POSITIVE,LOC,казань,1
Gorky,Советский,Лето,POSITIVE,LOC,нижний новгород,1
Gorky,Советский,Лето,POSITIVE,LOC,нн,1
Gorky,Советский,Лето,POSITIVE,ORG,работающий,1
Gorky,Советский,Лето,POSITIVE,PER,плюсы,1
Gorky,Советский,Осень,NEGATIVE,ORG,яндекс путешествие,1
Gorky,Советский,Осень,NEUTRAL,LOC,горка,1
Gorky,Советский,Осень,NEUTRAL,PER,холл,1
Gorky,Советский,Осень,POSITIVE,PER,пятерочка,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,ORG,ibis,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,ORG,spa,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,ORG,wifi,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,PER,хемптон бай хилтон нижний новгород,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,LOC,уфа,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,LOC,невеста,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,PER,жених,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,LOC,ковролин,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,PER,хилтон,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,LOC,волгоград,1
