hotel,district,season,sentiment,topic,reviews_count
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Еда,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Расположение,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Еда,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Сервис,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Чистота,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Расположение,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Сервис,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Еда,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Комфорт/шум,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Расположение,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Сервис,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Чистота,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Чистота,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Комфорт/шум,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Сервис,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Еда,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Комфорт/шум,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Расположение,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Сервис,5
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Чистота,2
DailyRent-NN Квартира в ЖК Маленькая страна,Советский,Весна,POSITIVE,Чистота,1
Golden House,Московский,Весна,POSITIVE,Сервис,5
Golden House,Московский,Зима,NEGATIVE,Еда,1
Golden House,Московский,Зима,NEUTRAL,Еда,1
Golden House,Московский,Зима,NEUTRAL,Комфорт/шум,1
Golden House,Московский,Зима,NEUTRAL,Сервис,1
Golden House,Московский,Зима,NEUTRAL,Чистота,3
