season,sentiment,lemma,count
Весна,negative,домик,1
Весна,negative,липкий,1
Весна,negative,клоп,1
Весна,negative,прекрасный,1
Весна,negative,спортивный,1
Весна,negative,халат,1
Весна,negative,унитаз,1
Весна,negative,страшно,1
Весна,negative,следующий,1
Весна,negative,приветливый,1
Весна,negative,компания,1
Весна,negative,неплохо,1
Весна,negative,гулянка,1
Весна,negative,добро,1
Весна,negative,ощущение,1
Весна,negative,фанерный,1
Весна,negative,щиток,1
Весна,negative,электрический,1
Весна,negative,монитор,1
Весна,negative,изображение,1
Весна,negative,периодически,1
Весна,negative,должное,1
Весна,negative,звук,1
Весна,negative,дело,1
Весна,negative,дорого,1
Весна,negative,низкий,1
Весна,negative,мягко,1
Весна,negative,звонок,1
Весна,negative,детский,1
Весна,negative,площадка,1
Весна,negative,путь,1
Весна,negative,бронь,1
Весна,negative,сколько,1
Весна,negative,душ,1
Весна,negative,некоторый,1
Весна,negative,общий,1
Весна,negative,точно,1
Весна,negative,командировка,1
Весна,negative,особенный,1
Весна,negative,главный,1
Весна,negative,полный,1
Весна,negative,выучка,1
Весна,negative,общение,1
Весна,negative,грубый,1
Весна,negative,зачастую,1
Весна,negative,спорный,1
Весна,negative,яишница,1
Весна,negative,микроволновка,1
Весна,negative,неплохой,1
Весна,negative,российский,1
Весна,negative,дешёвый,1
Весна,negative,красивый,1
Весна,negative,глухой,1
Весна,negative,двор,1
Весна,negative,женщина,1
Весна,negative,паспорт,1
Весна,negative,умышленно,1
Весна,negative,описание,1
Весна,negative,яндекс,1
Весна,negative,путешествие,1
Весна,negative,узел,1
Весна,negative,средство,1
Весна,negative,замена,1
Весна,negative,никак,1
Весна,negative,ситуация,1
Весна,negative,необходимый,1
Весна,negative,бесплатный,1
Весна,negative,парковочный,1
Весна,negative,лента,1
Весна,negative,недалеко,1
Весна,negative,заправка,1
Весна,negative,утилитарный,1
Весна,negative,приложение,1
Весна,negative,бару,1
Весна,negative,пятница,1
Весна,negative,какой-либо,1
Весна,negative,причина,1
Весна,negative,горизонтальный,1
Весна,negative,положение,1
Весна,negative,благо,1
Весна,negative,компоновка,1
Весна,negative,ботинок,1
Весна,negative,революция,1
Весна,negative,москитный,1
Весна,negative,сетка,1
Весна,negative,оживлённый,1
Весна,negative,пыль,1
Весна,negative,близость,1
Весна,negative,достопримечательность,1
Весна,negative,едальня,1
Весна,negative,доброжелательный,1
Весна,negative,ванная,1
Весна,negative,грубо,1
Весна,negative,проблема,1
Весна,negative,погрызаный,1
Весна,negative,жвачка,1
Весна,negative,состав,1
Весна,negative,хлипкий,1
Весна,negative,двухспальная,1
Весна,negative,двухярусный,1
Весна,negative,раскладной,1
Весна,negative,кресло,1
Весна,negative,далее,1
Весна,negative,рваный,1
Весна,negative,тихий,1
Весна,negative,спокойный,1
Весна,negative,каша,1
Весна,negative,омлет,1
Весна,negative,сосиска,1
Весна,negative,уборка,1
Весна,negative,мусор,1
Весна,negative,штора,1
Весна,negative,заляпаный,1
Весна,negative,клиент,1
Весна,negative,ошибка,1
Весна,negative,среднее,1
Весна,negative,обстановка,1
Весна,negative,квартира,1
Весна,negative,окраина,1
Весна,negative,трудно,1
Весна,negative,туда,1
Весна,negative,центр,1
Весна,negative,нормальный,1
Весна,negative,ночлежка-общага,1
Весна,negative,семья,1
Весна,negative,контингент,1
Весна,negative,вытяжка,1
Весна,negative,праздничный,1
Весна,negative,майский,1
Весна,negative,тишина,1
Весна,negative,копосовский,1
Весна,negative,дубрава,1
Весна,negative,выбор,1
Весна,negative,конечный,1
Весна,negative,открытие,1
Весна,negative,балкон,1
Весна,negative,наплыв,1
Весна,negative,лифт,1
Весна,negative,краска,1
Весна,negative,невозможно,1
Весна,negative,структура,1
Весна,negative,развлечение,1
Весна,negative,настолько,1
Весна,negative,вход,1
Весна,negative,исправный,1
Весна,negative,электрочайник,1
Весна,negative,минус,1
Весна,negative,холодрыг,1
Весна,negative,отопление,1
Весна,negative,лето,1
Весна,negative,февраль,1
Весна,negative,тёмный,1
Весна,negative,восторг,1
Весна,negative,нечистоты,1
Весна,negative,столовая,1
Весна,neutral,завтрак,11
Весна,neutral,персонал,10
Весна,neutral,хороший,8
Весна,neutral,вода,8
Весна,neutral,ночь,8
Весна,neutral,плюс,7
Весна,neutral,стена,7
Весна,neutral,место,7
Весна,neutral,цена,7
Весна,neutral,рядом,6
Весна,neutral,чисто,6
Весна,neutral,кровать,6
Весна,neutral,час,5
Весна,neutral,чистый,5
Весна,neutral,целое,5
Весна,neutral,человек,5
Весна,neutral,нормальный,5
Весна,neutral,окно,5
Весна,neutral,первый,4
Весна,neutral,бельё,4
Весна,neutral,командировка,4
Весна,neutral,туалет,4
Весна,neutral,день,4
Весна,neutral,коридор,4
Весна,neutral,звезда,4
Весна,neutral,ребёнок,4
Весна,neutral,сауна,4
Весна,neutral,запах,4
Весна,neutral,сюда,4
Весна,neutral,детский,4
Весна,neutral,общий,4
Весна,neutral,вокзал,3
Весна,neutral,этаж,3
Весна,neutral,магазин,3
Весна,neutral,кафе,3
Весна,neutral,поэтому,3
Весна,neutral,телевизор,3
Весна,neutral,администратор,3
Весна,neutral,какой-то,3
Весна,neutral,самый,3
Весна,neutral,минус,3
Весна,neutral,приятный,3
Весна,neutral,слышимость,3
Весна,neutral,комната,3
Весна,neutral,большой,3
Весна,neutral,скудный,3
Весна,neutral,дорога,3
Весна,neutral,душа,3
Весна,neutral,подарок,3
Весна,neutral,дело,3
Весна,neutral,полотенце,3
Весна,neutral,принцип,3
Весна,neutral,ремонт,3
Весна,neutral,новый,3
Весна,neutral,кухня,3
Весна,neutral,минута,3
Весна,neutral,здание,2
Весна,neutral,ресторан,2
Весна,neutral,почему-то,2
Весна,neutral,горячий,2
Весна,neutral,ванная,2
Весна,neutral,удобно,2
Весна,neutral,душевая,2
Весна,neutral,шампунь,2
Весна,neutral,доброжелательный,2
Весна,neutral,просторный,2
Весна,neutral,светлый,2
Весна,neutral,сожаление,2
Весна,neutral,грязно,2
Весна,neutral,утром,2
Весна,neutral,шумно,2
Весна,neutral,что-то,2
Весна,neutral,вход,2
Весна,neutral,приветливый,2
Весна,neutral,пара,2
Весна,neutral,весь,2
Весна,neutral,впечатление,2
Весна,neutral,достаточно,2
Весна,neutral,холодильник,2
Весна,neutral,прямо,2
Весна,neutral,батарея,2
Весна,neutral,немного,2
Весна,neutral,оживлённый,2
Весна,neutral,заведение,2
Весна,neutral,выбор,2
Весна,neutral,курящий,2
Весна,neutral,плохой,2
Весна,neutral,расположение,2
Весна,neutral,максимально,2
Весна,neutral,близко,2
Весна,neutral,рабочий,2
Весна,neutral,розетка,2
Весна,neutral,толя,2
Весна,neutral,сырость,2
Весна,neutral,никакой,2
Весна,neutral,сервис,2
Весна,neutral,каша,2
Весна,neutral,сосед,2
Весна,neutral,территория,2
Весна,neutral,нормально,2
Весна,neutral,маленький,2
Весна,neutral,унитаз,2
Весна,neutral,дверь,2
Весна,neutral,санузел,2
Весна,neutral,свой,2
Весна,neutral,балкон,2
Весна,neutral,проживание,2
Весна,neutral,эконом,2
Весна,neutral,ночью,2
Весна,neutral,корпус,2
Весна,neutral,свежий,2
Весна,neutral,несколько,2
Весна,neutral,миллениал,2
Весна,neutral,переслащёный,2
Весна,neutral,постельный,2
Весна,neutral,свободный,2
Весна,neutral,город,2
Весна,neutral,недалеко,1
Весна,neutral,частный,1
Весна,neutral,сектор,1
Весна,neutral,этажный,1
Весна,neutral,автосервис,1
Весна,neutral,продуктовый,1
Весна,neutral,продукт,1
Весна,neutral,заранее,1
Весна,neutral,доставка,1
Весна,neutral,яндекс,1
Весна,neutral,охота,1
Весна,neutral,просьба,1
Весна,neutral,бесперебойный,1
Весна,neutral,бесплатный,1
Весна,neutral,принадлежность,1
Весна,neutral,кофе,1
Весна,neutral,бюджетный,1
Весна,neutral,туризм,1
Весна,neutral,комфортно,1
Весна,neutral,кабинка,1
Весна,neutral,мыло,1
Весна,neutral,щётка,1
Весна,neutral,след,1
Весна,neutral,грязный,1
Весна,neutral,тепло,1
Весна,neutral,жёсткий,1
Весна,neutral,подушка,1
Весна,neutral,снизу,1
Весна,neutral,часто,1
Весна,neutral,нижний,1
Весна,neutral,новгород,1
Весна,neutral,технострелка,1
Весна,neutral,стадион,1
Весна,neutral,близость,1
Весна,neutral,проведение,1
Весна,neutral,мероприятие,1
Весна,neutral,изначально,1
Весна,neutral,аккуратно,1
Весна,neutral,пока,1
Весна,neutral,свидание,1
Весна,neutral,весело,1
Весна,neutral,зависть,1
Весна,neutral,уровень,1
Весна,neutral,семейный,1
Весна,neutral,чайник,1
Весна,neutral,улица,1
Весна,neutral,шашлык,1
Весна,neutral,шаурм,1
Весна,neutral,ресепшн,1
Весна,neutral,настойчиво,1
Весна,neutral,перевод,1
Весна,neutral,вариация,1
Весна,neutral,вкусно,1
Весна,neutral,сытно,1
Весна,neutral,центральный,1
Весна,neutral,гость,1
Весна,neutral,одежда,1
Весна,neutral,курево,1
Весна,neutral,сауна-караоке,1
Весна,neutral,микрофон,1
Весна,neutral,тип,1
Весна,neutral,оплата,1
Весна,neutral,мыльно-рыльный,1
Весна,neutral,душевный,1
Весна,neutral,взгляд,1
Весна,neutral,защёлка,1
Весна,neutral,занавеска,1
Весна,neutral,ковшик,1
Весна,neutral,парилка,1
Весна,neutral,тазик,1
Весна,neutral,подвал,1
Весна,neutral,сайт,1
Весна,neutral,стоимость,1
Весна,neutral,ребята,1
Весна,neutral,подозрительный,1
Весна,neutral,машина,1
Весна,neutral,опасно,1
Весна,neutral,камера,1
Весна,neutral,понятно,1
Весна,neutral,опасный,1
Весна,neutral,пола,1
Весна,neutral,мрамор,1
Весна,neutral,терпимо,1
Весна,neutral,отличный,1
Весна,neutral,напор,1
Весна,neutral,полуподвальный,1
Весна,neutral,помещение,1
Весна,neutral,тесно,1
Весна,neutral,подъезд,1
Весна,neutral,район,1
Весна,neutral,затхлый,1
Весна,neutral,двор,1
Весна,neutral,январь,1
Весна,neutral,холод,1
Весна,neutral,отопление,1
Весна,neutral,сбоку,1
Весна,neutral,голова,1
Весна,neutral,защита,1
Весна,neutral,обогреватель,1
Весна,neutral,оценка,1
Весна,neutral,беда,1
Весна,neutral,деньга,1
Весна,neutral,кремль,1
Весна,neutral,убогий,1
Весна,neutral,сразу,1
Весна,neutral,какой-нибудь,1
Весна,neutral,столовая,1
Весна,neutral,шумоизоляция,1
Весна,neutral,ресепшен,1
Весна,neutral,уважаемый,1
Весна,neutral,собственник,1
Весна,neutral,административный,1
Весна,neutral,комфортный,1
Весна,neutral,бутылочка,1
Весна,neutral,заезд,1
Весна,neutral,стакан,1
Весна,neutral,остальной,1
Весна,neutral,твёрдый,1
Весна,neutral,каждый,1
Весна,neutral,овощ,1
Весна,neutral,сухой,1
Весна,neutral,гречка,1
Весна,neutral,сосиска,1
Весна,neutral,питание,1
Весна,neutral,троечка,1
Весна,neutral,домик,1
